Category,date,Description,Amount
Food/Drink,8/26/13,King Foot Subs San Franciscoca ,7.55
Uncategorized Payments,8/26/13,Paypal Inst Xfer 130824 J2222223Ktvbw Travis Lawrence Paypalsi66 J2222223Ktvbw 0O00000091004254859648,29.99
Miscellaneous,8/27/13,City Of Sm Pw Park San Mateo Ca ,2
Food/Drink,8/27/13,In-N-Out Burger #1 Millbrae Ca ,7.19
Groceries,8/27/13,Superette Market San Francisco Ca ,16.16
Credit Card/Loan Payments,8/28/13,"Acs Express Pay Echeck Pay 130827 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091003756678953",210.31
Auto/Transportation,8/28/13,Bart Clipper Ci San Franciscoca ,20
Credit Card/Loan Payments,8/28/13,Card Payments (Non-Wf)-Citi Cards,79
Food/Drink,8/28/13,Peets Sfo #2 San Francisco Ca ,6.33
Travel,8/28/13,United 016292 800-932-2732 Tx ,75
Food/Drink,8/30/13,Dodger Std-Cnc1043 Los Angeles Ca ,21
Food/Drink,8/30/13,Dodger Std-Cnc1043 Los Angeles Ca ,21
Bills/Utilities,8/30/13,Gas/Electric-Pacific Gas & Electric -Pg&E,33.29
Insurance/Financial,8/30/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Business/Office,9/3/13,Searchtech Limit Iat Paypal 130903 4Jt227Efzxzks Travis Lawrence 770510487C 4Jt227Efzxzks 0O00000091004159280908,11
Groceries,9/4/13,Trader Joe S 100 San Francisc Ca ,42.52
Cash/ATM,9/6/13,Atm Withdrawal - 6 298 Divisadero Owner Fillsan Franciscoca ,42.25
Auto/Transportation,9/6/13,Shell Oil 57444678 San Francisco Ca ,14.61
Food/Drink,9/7/13,Sq *Oakside Cafe San Francisco Ca ,12.2
Groceries,9/7/13,Superette Market San Francisco Ca ,4.58
Food/Drink,9/8/13,Peets 12902 San Francisco Ca ,14.95
Shopping,9/9/13,Apl*Apple Itunes S 866-712-7753 Ca ,4.99
Groceries,9/9/13,Falletti Foods 308 Bro San Franciscoca ,40.83
Food/Drink,9/10/13,Capital One 360 San Francisco Ca ,6
Food/Drink,9/12/13,King Foot Subs San Franciscoca ,7.82
Auto/Transportation,9/12/13,Silver Gas And Die San Francisco Ca ,20.02
Cash/ATM,9/13/13,Atm Withdrawal - 100 E. 4Th Ave San Mateo Ca ,60
Groceries,9/13/13,Falletti Foods San Francisco Ca ,6.99
Food/Drink,9/13/13,Nick S Supermar San Franciscoca ,8.33
Groceries,9/13/13,Superette Market San Francisco Ca ,17.27
Credit Card/Loan Payments,9/14/13,Card Payments (Non-Wf)-Bank Of America Credit Card,50
Mortgage / Rent,9/14/13,Mortgage Payments-Jackson Square West Hoa,333
Shopping,9/15/13,Apl*Apple Itunes S 866-712-7753 Ca ,5.98
Food/Drink,9/15/13,Place Pigalle San Francisco Ca ,30
Food/Drink,9/15/13,Place Pigalle San Francisco Ca ,30
Groceries,9/16/13,Falletti Foods 308 Bro San Franciscoca ,24.71
Food/Drink,9/16/13,Lucky 756San Francisco San Francisc Ca ,10.18
Uncategorized Payments,9/16/13,Unblockus Inc. Iat Paypal 130916 4Jt227Fn7Mjz2 Travis Lawrence 770510487C 4Jt227Fn7Mjz2 0O00000091003757737893,4.98
Food/Drink,9/18/13,Starbucks #00628 S San Francisco Ca ,1.95
Bills/Utilities,9/19/13,Phone/Internet-Comcast Cable Communications -16-Digit Account Numbers,170.46
Groceries,9/19/13,Superette Market San Francisco Ca ,6.25
Food/Drink,9/20/13,Escape Frm New Yrk San Francisco Ca ,37.42
Groceries,9/20/13,Superette Market San Francisco Ca ,11.16
Business/Office,9/21/13,Sf Hardware San Francisco Ca ,10.23
Groceries,9/21/13,Superette Market San Francisco Ca ,14.79
Bills/Utilities,9/21/13,Vesta *At&T 866-608-3007 Or ,10
Food/Drink,9/22/13,Sq *Oakside Cafe San Francisco Ca ,7.9
Entertainment,9/22/13,Sundance Kab 818-889-8562 Ca ,18.48
Shopping,9/23/13,Apl*Apple Itunes S 866-712-7753 Ca ,0.99
Food/Drink,9/23/13,Burger Urge San Francisco Ca ,14.19
Groceries,9/23/13,Falletti Foods 308 Bro San Franciscoca ,43.23
Transfers to other Wells Fargo Accounts,9/23/13,Wf Loan/Line Auto Pay 130920 626228690710001 Lawrence Travis Shaw990662 626228690710001 1O00000091004457408280,324.87
Food/Drink,9/24/13,Mad Dog In The Fog San Francisco Ca ,48
Groceries,9/24/13,Superette Market San Francisco Ca ,8.45
Food/Drink,9/24/13,The Little Chihuah San Francisco Ca ,10.06
Groceries,9/25/13,Superette Market San Francisco Ca ,18.49
Health,9/26/13,Cvs 10188 10188 499 H San Franciscoca ,3.8
Groceries,9/26/13,Falletti Foods San Francisco Ca ,8.48
Auto/Transportation,9/27/13,76 10093623 San Francisco Ca ,40.02
Shopping,9/27/13,Anthropologie 4 Anthro San Franciscoca ,82.66
Auto/Transportation,9/30/13,Fast Lane 2 Healdsburg Ca ,3.13
Food/Drink,9/30/13,Lucky 756San Francisco San Francisc Ca ,19.48
Food/Drink,9/30/13,New Star Ell Li San Franciscoca ,8.95
Credit Card/Loan Payments,10/2/13,"Acs Express Pay Echeck Pay 131001 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091003855651420",210.31
Shopping,10/2/13,Apl*Apple Itunes S 866-712-7753 Ca ,9.99
Credit Card/Loan Payments,10/2/13,Citi Card Online Payment 131001 111184965291921 Travis R Lawrence Citictp 111184965291921 0R00000091003855651419,77
Bills/Utilities,10/2/13,Gas/Electric-Pacific Gas & Electric -Pg&E,39.79
Insurance/Financial,10/2/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Business/Office,10/2/13,Searchtech Limit Iat Paypal 131002 4Jt227Gw87V8Y Travis Lawrence 770510487C 4Jt227Gw87V8Y 0O00000091003956004554,11
Food/Drink,10/3/13,Alamo Square Marke San Francisco Ca ,9.49
Auto/Transportation,10/4/13,76 10093623 San Francisco Ca ,50.38
Auto/Transportation,10/4/13,Pos Purchase - Divisadero 76 San Francisc Ca 8245 00583277118679804 ?Mcc=5541,4.47
Groceries,10/4/13,Superette Market San Francisco Ca ,10.08
Auto/Transportation,10/7/13,Caltrain Tvm San Carlos Ca ,10
Entertainment,10/8/13,24Hour Fitness Usa 800-432-6348 Ca ,49
Auto/Transportation,10/8/13,Caltrain Tvm San Carlos Ca ,10
Mortgage / Rent,10/8/13,Mortgage Payments-Jackson Square West Hoa,333
Food/Drink,10/8/13,Thai Satay Restaur San Mateo Ca ,10.89
Auto/Transportation,10/9/13,Caltrain Tvm San Carlos Ca ,10
Auto/Transportation,10/9/13,Clipper Service 925-686-8282 Ca ,36.5
Food/Drink,10/9/13,Takahashi Market San Mateo Ca ,9.78
Shopping,10/10/13,Apl*Apple Itunes S 866-712-7753 Ca ,2.98
Food/Drink,10/10/13,Sq *The Sandwich S San Mateo Ca ,9.85
Food/Drink,10/10/13,The Little Chihuah San Francisco Ca ,20.22
Food/Drink,10/11/13,Joy Sushi San Mateo Ca ,14.92
Groceries,10/11/13,Superette Market San Francisco Ca ,14.74
Food/Drink,10/12/13,Escape Frm New Yrk San Francisco Ca ,29.86
Food/Drink,10/12/13,The Grind Cafe San Francisco Ca ,17.25
Cash/ATM,10/15/13,Atm Withdrawal - 62 620 Jones St Jones Inssan Franciscoca 8245 ,63
Food/Drink,10/15/13,Pancho Villa Taque San Mateo Ca ,9.29
Food/Drink,10/15/13,Rave Burger San Mateo Ca,13.91
Food/Drink,10/15/13,The Little Chihuahua - San Francisco Ca,20.22
Credit Card/Loan Payments,10/16/13,Card Payments (Non-Wf)-Bank Of America Credit Card,50
Uncategorized Payments,10/16/13,Unblockus Inc. Iat Paypal 131016 4Jt227J2Syv8J Travis Lawrence 770510487C 4Jt227J2Syv8J 0O,4.94
Food/Drink,10/17/13,Chipotle 1853 San Mateo Ca,8.69
Auto/Transportation,10/18/13,Caltrain Tvm San Carlos Ca,10
Food/Drink,10/18/13,Hayes & Kebab San Francisco Ca,13.59
Food/Drink,10/19/13,Sq *The Sandwich Spot San Mateo Ca,8.73
Groceries,10/19/13,Superette Market San Francisco Ca,9.38
Food/Drink,10/21/13,Alembic San Francisco Ca,26
Auto/Transportation,10/21/13,Caltrain Tvm San Carlos Ca,10
Food/Drink,10/21/13,Escape Frm New Yrk Pizza San Francisco Ca,29.86
Food/Drink,10/21/13,Milk Bar 2 San Francisco Ca,19.31
Food/Drink,10/21/13,Milk Bar 2 San Francisco Ca,19.31
Food/Drink,10/21/13,Milk Bar 2 San Francisco Ca,37.71
Groceries,10/21/13,Superette Market San Francisco Ca,18.68
Food/Drink,10/22/13,B Street & Vine San Mateo Ca,12.27
Transfers to other Wells Fargo Accounts,10/22/13,Overdraft Fee For Item $324.87 10/22 Wf Loan/Line Auto Pay 131021 626228690710 001 Lawrence Travis,35
Transfers to other Wells Fargo Accounts,10/22/13,Wf Loan/Line Auto Pay 131021 62622869071,324.87
Food/Drink,10/22/13,Zazie Restaurant San Francisco Ca,56.62
Shopping,10/23/13,Apl*Apple Itunes S 866-712-7753 Ca ,0.99
Food/Drink,10/23/13,Ayola (Kearny) San Francisco Ca ,10.33
Auto/Transportation,10/23/13,Caltrain Tvm San Carlos Ca,10
Food/Drink,10/23/13,Sq *The Sandwich Spot San Mateo Ca,9.65
Cash/ATM,10/24/13,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca 8245 ,61.95
Auto/Transportation,10/25/13,Caltrain Tvm San Carlos Ca,10
Food/Drink,10/25/13,Chipotle 1857 San Francisco Ca,7.22
Uncategorized Payments,10/25/13,Paypal Inst Xfer 131025 J2222225Zllkj Travis Lawrence Paypalsi66 J2222225Zllkj 0O,130
Credit Card/Loan Payments,10/26/13,Card Payments (Non-Wf)-Capital One Credit Card,399.64
Bills/Utilities,10/26/13,Phone/Internet-Comcast Cable Communications -16-Digit Account Numbers,170.46
Groceries,10/26/13,Safeway Store00015073 San Francisco Ca,37.49
Other Spending,10/26/13,Shine Hair Styles San Francisc Ca,21
Food/Drink,10/27/13,Escape Frm New Yrk San Francisco Ca ,27.41
Groceries,10/27/13,Falletti Foods San Francisco Ca ,15.97
Credit Card/Loan Payments,10/28/13,"Acs Express Pay Echeck Pay 131025 A102995851 Lawrence, Travis R 4952501112 A102995851 0R",210.31
Cash/ATM,10/28/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca 8245 ,60
Cash/ATM,10/28/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca 8245 ,100
Food/Drink,10/28/13,Home Service Mar San Franciscoca 8245 ,16.92
Food/Drink,10/28/13,New Asia Asian Cui San Francisco Ca ,7.28
Food/Drink,10/29/13,Chipotle 2080 San Francisco Ca ,17.89
Food/Drink,10/29/13,Sanraku Metreon San Francisco Ca ,21.4
Shopping,10/30/13,Apple Store #R075 San Francisco Ca ,364.54
Food/Drink,10/30/13,Lee'S Deli - 615 M San Francisco Ca ,6.35
Groceries,10/30/13,Trader Joe S 236 San Francisc Ca 8245 00303303097581910 ?Mcc=5411,82.82
Credit Card/Loan Payments,10/31/13,Card Payments (Non-Wf)-Capital One Credit Card,10
Bills/Utilities,10/31/13,Gas/Electric-Pacific Gas & Electric -Pg&E,37.57
Insurance/Financial,10/31/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Food/Drink,10/31/13,Seamless 800-905-9322 Ny ,5.53
Food/Drink,11/1/13,Place Pigalle San Francisco Ca ,14
Food/Drink,11/1/13,The Little Chihuah San Francisco Ca ,20.22
Groceries,11/2/13,Superette Market San Francisco Ca ,14.61
Cash/ATM,11/4/13,Atm Withdrawal - 4 547 Haight Stretoronado-2San Franciscoca 8245 00463306095690405,61.95
Shopping,11/4/13,Best Buy 1125 San Franciscoca 8245 ,70.66
Shopping,11/4/13,Check Crd Pur Rtrn 11/04 Anthropologie #042 San Francisco Ca ,-41.33
Uncategorized Payments,11/4/13,Paypal Inst Xfer 131103 4Jt227Kexlbkc Travis Lawrence Paypalsi66 4Jt227Kexlbkc 0O,56.7
Uncategorized Payments,11/4/13,Paypal Inst Xfer 131103 J2222226Jk65W Travis Lawrence Paypalsi66 J2222226Jk65W 0O,74.03
Uncategorized Payments,11/4/13,Paypal Inst Xfer 131104 J2222226Ky5Hw Travis Lawrence Paypalsi66 J2222226Ky5Hw 0O,20.25
Business/Office,11/4/13,Searchtech Limit Iat Paypal 131104 4Jt227Kchb28Y Travis Lawrence 770510487C 4Jt227Kchb28Y 0O,11
Food/Drink,11/4/13,Super Duper Burger San Francisco Ca ,10.7
Groceries,11/4/13,Trader Joe S 100 San Francisc Ca 8245 ,66.26
Shopping,11/5/13,Apl*Apple Itunes S 866-712-7753 Ca ,4.99
Cash/ATM,11/5/13,Atm Withdrawal - 1 425 A Hayes Strmoishes Pisan Franciscoca 8245 00463309727502772,42.5
Mortgage / Rent,11/5/13,Mortgage Payments-Jackson Square West Hoa,333
Food/Drink,11/6/13,Hayes Street Grill San Francisco Ca ,25.75
Uncategorized Payments,11/6/13,Paypal Inst Xfer 131106 J2222226Rp9La Travis Lawrence Paypalsi66 J2222226Rp9La 0O,32.93
Groceries,11/7/13,Falletti Foods 308 Bro San Franciscoca 8245 00463311103314574 ?Mcc=5411,19.92
Auto/Transportation,11/8/13,Bart-Clipper Montg 5104646979 Ca ,20
Credit Card/Loan Payments,11/8/13,Card Payments (Non-Wf)-Bank Of America Credit Card,50
Food/Drink,11/8/13,Jimmy Johns - 1489 San Francisco Ca ,8
Mortgage / Rent,11/8/13,Mortgage Payments-Wells Fargo Home Mortgage-708 -First 3 Digits On Payment Coupon,2539.24
Groceries,11/8/13,Superette Market San Francisco Ca ,12.95
Food/Drink,11/9/13,Burgermeister Cast San Francisco Ca ,28.38
Food/Drink,11/9/13,Escape Frm New Yrk San Francisco Ca ,29.86
Groceries,11/10/13,Falletti Foods San Francisco Ca ,6.9
Cash/ATM,11/12/13,Atm Withdrawal - 2595 Mission St San Francisco Ca 8245 ,80
Cash/ATM,11/12/13,Atm Withdrawal - 6 298 Divisadero Owner Fillsan Franciscoca 8245 00383313180831974,42.25
Insurance/Financial,11/12/13,Non-Wells Fargo Atm Transaction Fee,2.5
Uncategorized Payments,11/12/13,Paypal Inst Xfer 131110 J2222226Zwapl Travis Lawrence Paypalsi66 J2222226Zwapl 0O,62
Uncategorized Payments,11/12/13,Paypal Inst Xfer 131110 J222222735Xsq Travis Lawrence Paypalsi66 J222222735Xsq 0O,80.7
Shopping,11/13/13,Apl*Apple Itunes S 866-712-7753 Ca ,2.99
Food/Drink,11/15/13,Jimmy Johns - 1489 San Francisco Ca ,9
Auto/Transportation,11/15/13,Shell Oil 57444678 San Francisco Ca ,19.98
Auto/Transportation,11/16/13,76 10093623 San Francisco Ca ,34.14
Groceries,11/16/13,Falletti Foods San Francisco Ca ,12.57
Food/Drink,11/16/13,Mad Dog In The Fog San Francisco Ca ,86.88
Auto/Transportation,11/16/13,Paybyphone Sanfran New York Ny ,1.45
Bills/Utilities,11/16/13,Phone/Internet-At&T Mobility,186.97
Credit Card/Loan Payments,11/18/13,"Acs Express Pay Echeck Pay 131115 A102995851 Lawrence, Travis R 4952501112 A102995851 0R",210.31
Groceries,11/18/13,Safeway Store 0995 San Franciscoca 8245 ,54.51
Groceries,11/18/13,Trader Joe S 078 San Francisc Ca 8245 ,83.92
Uncategorized Payments,11/18/13,Unblockus Inc. Iat Paypal 131118 4Jt227Lgg7Uvu Travis Lawrence 770510487C 4Jt227Lgg7Uvu 0O,4.91
Shopping,11/20/13,Apl*Apple Itunes S 866-712-7753 Ca ,1.99
Food/Drink,11/20/13,Seamless 8,0.97
Insurance/Financial,11/21/13,State Farm Insuran 8,581
Food/Drink,11/21/13,The Little Chihuah San Francisco Ca ,21.75
Uncategorized Payments,11/22/13,Paypal Inst Xfer 131122 J2222227Vtwfw Travis Lawrence Paypalsi66 J2222227Vtwfw 0O,65
Transfers to other Wells Fargo Accounts,11/22/13,Wf Loan/Line Auto Pay 131121 62622869071,324.87
Food/Drink,11/23/13,Horseshoe Tavern San Francisco Ca ,32
Insurance/Financial,11/23/13,Sq *Leaf And Vine San Francisco Ca ,56.42
Shopping,11/24/13,Apl*Apple Itunes S 866-712-7753 Ca ,2.99
Food/Drink,11/25/13,Burgermeister Cast San Francisco Ca ,27.02
Groceries,11/25/13,Superette Marke 901 Ha San Franciscoca 8245 ,6.73
Auto/Transportation,11/26/13,Chevron ,39.79
Food/Drink,11/26/13,In-N-Out Burger #1 Morgan Hill Ca ,14.3
Food/Drink,11/29/13,Firestone Walker B Paso Robles Ca ,12.01
Food/Drink,11/29/13,Firestone Walker B Paso Robles Ca ,21.09
Entertainment,11/29/13,Paso Robles Golf C Paso Robles Ca ,49
Auto/Transportation,11/30/13,Chevron ,28.99
Bills/Utilities,11/30/13,Gas/Electric-Pacific Gas & Electric -Pg&E,34.75
Insurance/Financial,11/30/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Business/Office,12/1/13,Cole Hardware San Francisco Ca ,11.47
Groceries,12/2/13,Safeway Store 1507 San Franciscoca 8245 ,49.62
Food/Drink,12/2/13,Super Duper Burger San Francisco Ca ,8.16
Home,12/2/13,The Home Depot 1031 Atascadero Ca 8245 ,21.47
Food/Drink,12/3/13,Chipotle 1857 San Francisco Ca ,7.12
Uncategorized Payments,12/3/13,Paypal Inst Xfer 131203 J2222228T6S8L Travis Lawrence Paypalsi66 J2222228T6S8L 0O,31.87
Auto/Transportation,12/4/13,Bart Clipper Montgomer San Franciscoca 8245 ,20
Food/Drink,12/4/13,Escape From Ny Piz San Francisco Ca ,3.95
Uncategorized Payments,12/4/13,Paypal Inst Xfer 131204 J2222228Vr98U Travis Lawrence Paypalsi66 J2222228Vr98U 0O,18.24
Groceries,12/4/13,Superette Market San Francisco Ca ,8.52
Health,12/4/13,Walgreens 141 Kearny S San Franciscoca 8245 ,16.85
Food/Drink,12/5/13,New Asia Asian Cui San Francisco Ca ,7.39
Auto/Transportation,12/6/13,68 Mail Priority P San Francisco Ca ,23
Auto/Transportation,12/6/13,Arco Paypoint San Franciscoca 8245 ,41.54
Food/Drink,12/6/13,Galette 88 San Francisco Ca ,11.96
Shopping,12/6/13,NORDSTROM DIRECT #0808 800-285-5800 IA 52404 US,119.57
Food/Drink,12/6/13,The Little Chihuah San Francisco Ca ,20.22
Food/Drink,12/7/13,Sq *Oakside Cafe San Francisco Ca ,7.9
Food/Drink,12/8/13,The Grind Cafe San Francisco Ca ,27.51
Food/Drink,12/9/13,Chaat Cafe Express San Francisco Ca ,8.69
Shopping,12/9/13,J CREW 800-562-0258 VA 24513 US,133.76
Groceries,12/9/13,Safeway Store 1507 San Franciscoca 8245 ,11.42
Groceries,12/9/13,SAFEWAY STORE00015073 SAN FRANCISCO CA 94114 US,105.74
Groceries,12/9/13,Superette Market San Francisco Ca ,20.5
Mortgage / Rent,12/10/13,Mortgage Payments-Jackson Square West Hoa,349.83
Credit Card/Loan Payments,12/11/13,Card Payments (Non-Wf)-Bank Of America Credit Card,47
Food/Drink,12/11/13,CHIPOTLE 1857 SAN FRANCISCO CA 94104 US,8.59
Entertainment,12/11/13,Debit Crd Purchase 12/11 2Buysafe.Com +18772926378 Nl ,11
Food/Drink,12/11/13,Jimmy Johns - 1489 San Francisco Ca ,7.5
Mortgage / Rent,12/11/13,Mortgage Payments-Wells Fargo Home Mortgage-708 -First 3 Digits On Payment Coupon,2539.24
Groceries,12/11/13,Superette Market San Francisco Ca ,7.25
Cash/ATM,12/11/13,Withdrawal Made In A Branch/Store,50
Auto/Transportation,12/12/13,68 MAIL PRIORITY PARKING SAN FRANCISCO CA 94105 US,23
Food/Drink,12/12/13,The Toaster Oven San Francisco Ca ,7.58
Food/Drink,12/13/13,Lark Creek Steak San Francisco Ca ,17.42
Groceries,12/13/13,Superette Market San Francisco Ca ,6.49
Credit Card/Loan Payments,12/14/13,Card Payments (Non-Wf)-Capital One Credit Card,195.33
Food/Drink,12/14/13,Escape Frm New Yrk San Francisco Ca ,29.86
Food/Drink,12/14/13,Mad Dog In The Fog San Francisco Ca ,20.62
Bills/Utilities,12/14/13,Phone/Internet-Comcast Cable Communications -16-Digit Account Numbers,89.98
Food/Drink,12/14/13,The Little Chihuah San Francisco Ca ,21.75
Travel,12/14/13,Yellow Card Servic San Francisco Ca ,14
Travel,12/15/13,Royal Taxi Long Island C Ny ,12.65
Food/Drink,12/15/13,The Grind Cafe San Francisco Ca ,18.67
Credit Card/Loan Payments,12/16/13,"Acs Express Pay Echeck Pay 131213 A102995851 Lawrence, Travis R 4952501112 A102995851 0R00000091004450670818",210.31
Cash/ATM,12/16/13,Atm Withdrawal - 62 620 Jones St Jones Inssan Franciscoca ,63
Cash/ATM,12/16/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,100
Health,12/16/13,Cvs 10188 10188 499 H San Franciscoca ,26.11
Auto/Transportation,12/16/13,Sf Muni Sfmta San Franciscoca ,20
Checks Written,12/17/13,Check #2021,750
Uncategorized Payments,12/17/13,Paypal Inst Xfer 131217 J2222229Zdrts Travis Lawrence Paypalsi66 J2222229Zdrts 0O00000091004053757046,28.53
Entertainment,12/17/13,Recur Debit Crd Pmt12/17 Netflix.Com Netflix.Com Ca ,7.99
Groceries,12/17/13,TRADER JOE'S #078 QPS SAN FRANCISCO CA 94103 US,96.61
Shopping,12/18/13,BESTBUY.COM 00009944 888-2378289 MN 55423 US,213.11
Food/Drink,12/19/13,Chipotle 1857 San Francisco Ca ,8.59
Food/Drink,12/20/13,Burgermeister Cast San Francisco Ca ,18.79
Food/Drink,12/20/13,Jimmy Johns - 1489 San Francisco Ca ,6.5
Transfers to other Wells Fargo Accounts,12/20/13,Online Transfer Ref #Ibeg6Dv5Dh To Personal Loan Unsecured Xxxxxx90710001 On 12/20/13,324.87
Bills/Utilities,12/21/13,Phone/Internet-At&T Mobility,200.28
Auto/Transportation,12/22/13,Paybyphone Sanfran New York Ny ,0.55
Auto/Transportation,12/22/13,Paybyphone Sanfran New York Ny ,1.65
Auto/Transportation,12/23/13,76 10093623 San Francisco Ca ,34.64
Cash/ATM,12/23/13,Atm Withdrawal - San Francisco Divisad San Francisco Ca ,60
Shopping,12/23/13,Best Buy 1125 San Franciscoca ,28
Shopping,12/23/13,BEST BUY MHT 00011254 SAN FRANCISCO CA 00000 US,-213.11
Food/Drink,12/23/13,In-N-Out Burger #9 Salinas Ca ,13.12
Uncategorized Payments,12/23/13,Paypal Inst Xfer 131222 4Jt227Ptg3Xx8 Travis Lawrence Paypalsi66 4Jt227Ptg3Xx8 0O00000091004259430686,2
Shopping,12/24/13,Chicos 00524 1080 Cour Uis Obispo Ca ,22.67
Food/Drink,12/24/13,Firestone Grill San Luis Obis Ca ,22.97
Shopping,12/24/13,Gap Usa San Luis Obisca ,31.41
Shopping,12/26/13,BEST BUY 00003962 SAN LUIS OBIS CA 93405 US,161.98
Health,12/26/13,Rite Aid Corp San Luis Obisca ,27.64
Food/Drink,12/27/13,Firestone Grill San Luis Obis Ca ,22.64
Shopping,12/28/13,AMAZON MKTPLACE PMTS AMZN.COM/BILL WA 98108 US,35.29
Shopping,12/28/13,Amazon Services-Kindle 866-216-1072 WA 98144 US,19.99
Shopping,12/28/13,BEST BUY 00003962 SAN LUIS OBIS CA 00000 US,-129.59
Auto/Transportation,12/28/13,CHEVRON 00090150 SAN LUIS OBIS CA 93401 US,43.38
Food/Drink,12/28/13,Indian Oven San Francisco Ca ,38.82
Shopping,12/29/13,Apl*Apple Itunes S 866-712-7753 Ca ,0.99
Food/Drink,12/29/13,Bistro Gambrinus Daly City Ca ,25.75
Food/Drink,12/30/13,Escape Frm New Yrk San Francisco Ca ,29.86
Groceries,12/30/13,Safeway Store 1507 San Franciscoca ,71.61
Bills/Utilities,12/31/13,Gas/Electric-Pacific Gas & Electric -Pg&E,41.37
Insurance/Financial,12/31/13,Other Insurance/Financial-State Farm Insurance Companies,47.85
Groceries,1/2/14,Falletti Foods 308 Bro San Franciscoca ,18.87
Groceries,1/2/14,Falletti Foods 308 Bro San Franciscoca ,65.44
Shopping,1/2/14,NORDSTROM #0427 SAN FRANCISCO CA 94103 US,-119.57
Shopping,1/2/14,NORDSTROM #0427 SAN FRANCISCO CA 94103 US,119.57
Food/Drink,1/2/14,Sf Soup Co Crocke San Francisco Ca ,7.25
Credit Card/Loan Payments,1/3/14,Citi Card Online Payment 140102 111266258871783 Travis R Lawrence Citictp 111266258871783 0R00000091004159005985,91.27
Food/Drink,1/3/14,Japan Katana Ya San Francisco Ca ,29.47
Food/Drink,1/3/14,Salumeria San Francisco Ca ,2.27
Auto/Transportation,1/4/14,76 10093623 San Francisco Ca ,46.92
Food/Drink,1/4/14,CAPITAL ONE 360 SAN FRANCISCO CA 94108 US,1.75
